参数类型,作物,扰动比例(%),最优总利润(元)
价格,黄瓜,80,37528024.75
价格,黄瓜,90,39745466.25
价格,黄瓜,100,39159889.0
价格,黄瓜,110,40707022.25
价格,黄瓜,120,42040393.125
价格,玉米,80,38774338.5
价格,玉米,90,39582163.5
价格,玉米,100,40158654.375
价格,玉米,110,39059806.875
价格,玉米,120,39455535.0
价格,羊肚菌,80,38697837.125
价格,羊肚菌,90,39783868.625
价格,羊肚菌,100,39900689.875
价格,羊肚菌,110,39359072.0
价格,羊肚菌,120,39166173.0
成本,黄瓜,80,39683660.0
成本,黄瓜,90,40039661.125
成本,黄瓜,100,39970889.625
成本,黄瓜,110,38864883.875
成本,黄瓜,120,39283083.625
成本,玉米,80,39115335.375
成本,玉米,90,40296501.375
成本,玉米,100,39665792.625
成本,玉米,110,39504305.625
成本,玉米,120,38665222.5
成本,羊肚菌,80,39906295.5
成本,羊肚菌,90,40821280.875
成本,羊肚菌,100,40814208.875
成本,羊肚菌,110,40052564.625
成本,羊肚菌,120,41115055.625
亩产量,黄瓜,80,37962760.25
亩产量,黄瓜,90,38919004.25
亩产量,黄瓜,100,39333182.75
亩产量,黄瓜,110,41053446.5
亩产量,黄瓜,120,41383669.625
亩产量,玉米,80,38725230.5
亩产量,玉米,90,38477714.875
亩产量,玉米,100,38890861.25
亩产量,玉米,110,39776111.625
亩产量,玉米,120,39611788.0
亩产量,羊肚菌,80,38923933.0
亩产量,羊肚菌,90,39233627.875
亩产量,羊肚菌,100,39710334.375
亩产量,羊肚菌,110,39785102.0
亩产量,羊肚菌,120,38970469.625
