场景,面积缩放比例(%),最优总利润(元)
普通大棚,75,39382601.5
普通大棚,80,40667231.375
普通大棚,85,40111971.125
普通大棚,90,39737203.125
普通大棚,95,39774799.125
普通大棚,100,38467449.5
普通大棚,105,41142230.5
普通大棚,110,40655340.375
普通大棚,115,38701480.75
普通大棚,120,40544111.0
普通大棚,125,40162856.375
智慧大棚,75,39273063.0
智慧大棚,80,38654345.575
智慧大棚,85,39738051.625
智慧大棚,90,39042812.35
智慧大棚,95,39884493.800000004
智慧大棚,100,40200736.75
智慧大棚,105,40220896.75
智慧大棚,110,38834516.1
智慧大棚,115,40088216.925000004
智慧大棚,120,40024754.7
智慧大棚,125,38724589.375
水浇地,75,34279438.625
水浇地,80,35937701.875
水浇地,85,36379995.625
水浇地,90,38500015.125
水浇地,95,38899330.5
水浇地,100,40072677.875
水浇地,105,40263622.625
水浇地,110,42212416.5
水浇地,115,41550791.125
水浇地,120,43876081.125
水浇地,125,43764569.375
